cond_1	cond_2	time	mean_crossval_score	metric
incoherent	coherent	-0.2	0.5527777777777778	roc_auc
incoherent	coherent	-0.196	0.5041666666666667	roc_auc
incoherent	coherent	-0.192	0.4722222222222223	roc_auc
incoherent	coherent	-0.188	0.47361111111111115	roc_auc
incoherent	coherent	-0.184	0.5375	roc_auc
incoherent	coherent	-0.18	0.5388888888888889	roc_auc
incoherent	coherent	-0.176	0.5333333333333334	roc_auc
incoherent	coherent	-0.172	0.6055555555555555	roc_auc
incoherent	coherent	-0.168	0.5680555555555555	roc_auc
incoherent	coherent	-0.164	0.4527777777777778	roc_auc
incoherent	coherent	-0.16	0.48888888888888893	roc_auc
incoherent	coherent	-0.156	0.5375	roc_auc
incoherent	coherent	-0.152	0.4958333333333334	roc_auc
incoherent	coherent	-0.148	0.4722222222222222	roc_auc
incoherent	coherent	-0.144	0.4375	roc_auc
incoherent	coherent	-0.14	0.38472222222222224	roc_auc
incoherent	coherent	-0.136	0.4000000000000001	roc_auc
incoherent	coherent	-0.132	0.37638888888888894	roc_auc
incoherent	coherent	-0.128	0.38888888888888895	roc_auc
incoherent	coherent	-0.124	0.3472222222222222	roc_auc
incoherent	coherent	-0.12	0.37083333333333335	roc_auc
incoherent	coherent	-0.116	0.47916666666666663	roc_auc
incoherent	coherent	-0.112	0.5111111111111111	roc_auc
incoherent	coherent	-0.108	0.5444444444444445	roc_auc
incoherent	coherent	-0.104	0.4625	roc_auc
incoherent	coherent	-0.1	0.4305555555555555	roc_auc
incoherent	coherent	-0.096	0.4805555555555555	roc_auc
incoherent	coherent	-0.092	0.5166666666666666	roc_auc
incoherent	coherent	-0.088	0.4791666666666667	roc_auc
incoherent	coherent	-0.084	0.4625	roc_auc
incoherent	coherent	-0.08	0.39305555555555555	roc_auc
incoherent	coherent	-0.076	0.42361111111111105	roc_auc
incoherent	coherent	-0.072	0.5569444444444445	roc_auc
incoherent	coherent	-0.068	0.5291666666666666	roc_auc
incoherent	coherent	-0.064	0.5347222222222222	roc_auc
incoherent	coherent	-0.06	0.4625	roc_auc
incoherent	coherent	-0.056	0.5625	roc_auc
incoherent	coherent	-0.052	0.4763888888888889	roc_auc
incoherent	coherent	-0.048	0.48194444444444445	roc_auc
incoherent	coherent	-0.044	0.4444444444444445	roc_auc
incoherent	coherent	-0.04	0.4	roc_auc
incoherent	coherent	-0.036	0.4708333333333333	roc_auc
incoherent	coherent	-0.032	0.4722222222222222	roc_auc
incoherent	coherent	-0.028	0.43888888888888883	roc_auc
incoherent	coherent	-0.024	0.46111111111111114	roc_auc
incoherent	coherent	-0.02	0.44722222222222224	roc_auc
incoherent	coherent	-0.016	0.523611111111111	roc_auc
incoherent	coherent	-0.012	0.5555555555555556	roc_auc
incoherent	coherent	-0.008	0.5472222222222222	roc_auc
incoherent	coherent	-0.004	0.5402777777777779	roc_auc
incoherent	coherent	0.0	0.45138888888888895	roc_auc
incoherent	coherent	0.004	0.39722222222222225	roc_auc
incoherent	coherent	0.008	0.3791666666666666	roc_auc
incoherent	coherent	0.012	0.39305555555555555	roc_auc
incoherent	coherent	0.016	0.44861111111111107	roc_auc
incoherent	coherent	0.02	0.5013888888888889	roc_auc
incoherent	coherent	0.024	0.5375	roc_auc
incoherent	coherent	0.028	0.5680555555555555	roc_auc
incoherent	coherent	0.032	0.6069444444444444	roc_auc
incoherent	coherent	0.036	0.7069444444444445	roc_auc
incoherent	coherent	0.04	0.5958333333333334	roc_auc
incoherent	coherent	0.044	0.4763888888888889	roc_auc
incoherent	coherent	0.048	0.4458333333333333	roc_auc
incoherent	coherent	0.052	0.4138888888888889	roc_auc
incoherent	coherent	0.056	0.5041666666666667	roc_auc
incoherent	coherent	0.06	0.501388888888889	roc_auc
incoherent	coherent	0.064	0.48611111111111116	roc_auc
incoherent	coherent	0.068	0.47777777777777775	roc_auc
incoherent	coherent	0.072	0.4763888888888889	roc_auc
incoherent	coherent	0.076	0.5180555555555555	roc_auc
incoherent	coherent	0.08	0.5930555555555556	roc_auc
incoherent	coherent	0.084	0.648611111111111	roc_auc
incoherent	coherent	0.088	0.6680555555555555	roc_auc
incoherent	coherent	0.092	0.6458333333333334	roc_auc
incoherent	coherent	0.096	0.6194444444444445	roc_auc
incoherent	coherent	0.1	0.5791666666666668	roc_auc
incoherent	coherent	0.104	0.5305555555555556	roc_auc
incoherent	coherent	0.108	0.4958333333333334	roc_auc
incoherent	coherent	0.112	0.4611111111111111	roc_auc
incoherent	coherent	0.116	0.5041666666666667	roc_auc
incoherent	coherent	0.12	0.5319444444444444	roc_auc
incoherent	coherent	0.124	0.5180555555555556	roc_auc
incoherent	coherent	0.128	0.5625000000000001	roc_auc
incoherent	coherent	0.132	0.5430555555555556	roc_auc
incoherent	coherent	0.136	0.55	roc_auc
incoherent	coherent	0.14	0.6138888888888889	roc_auc
incoherent	coherent	0.144	0.6375	roc_auc
incoherent	coherent	0.148	0.47777777777777775	roc_auc
incoherent	coherent	0.152	0.45138888888888895	roc_auc
incoherent	coherent	0.156	0.46944444444444444	roc_auc
incoherent	coherent	0.16	0.4652777777777778	roc_auc
incoherent	coherent	0.164	0.4291666666666666	roc_auc
incoherent	coherent	0.168	0.4041666666666667	roc_auc
incoherent	coherent	0.172	0.4458333333333333	roc_auc
incoherent	coherent	0.176	0.4736111111111111	roc_auc
incoherent	coherent	0.18	0.523611111111111	roc_auc
incoherent	coherent	0.184	0.5375	roc_auc
incoherent	coherent	0.188	0.48194444444444445	roc_auc
incoherent	coherent	0.192	0.49861111111111117	roc_auc
incoherent	coherent	0.196	0.5152777777777777	roc_auc
incoherent	coherent	0.2	0.48194444444444445	roc_auc
incoherent	coherent	0.204	0.5083333333333333	roc_auc
incoherent	coherent	0.208	0.513888888888889	roc_auc
incoherent	coherent	0.212	0.5027777777777778	roc_auc
incoherent	coherent	0.216	0.4833333333333334	roc_auc
incoherent	coherent	0.22	0.47222222222222215	roc_auc
incoherent	coherent	0.224	0.44861111111111107	roc_auc
incoherent	coherent	0.228	0.4569444444444445	roc_auc
incoherent	coherent	0.232	0.4930555555555555	roc_auc
incoherent	coherent	0.236	0.46944444444444444	roc_auc
incoherent	coherent	0.24	0.49722222222222223	roc_auc
incoherent	coherent	0.244	0.48194444444444445	roc_auc
incoherent	coherent	0.248	0.47777777777777775	roc_auc
incoherent	coherent	0.252	0.44305555555555554	roc_auc
incoherent	coherent	0.256	0.5	roc_auc
incoherent	coherent	0.26	0.4916666666666666	roc_auc
incoherent	coherent	0.264	0.46944444444444444	roc_auc
